relative_path,size_bytes,sha256
.gitignore,230,c69e766cd50e0a906a12b3a505c114497d093afbee687d80d3953cc079fa0244
.zenodo.json,1086,d142bc772a36b41872ff36c1548ee97409b437f3413d1c2d8c3d6e8fed88c631
aggregate_results/figures/Figure_1_cohort_flow.pdf,17931,c5de574317d16389b20e5b4d17cedf723cdc8f9c40c5300dc2ead82dbb1c2eed
aggregate_results/figures/Figure_1_cohort_flow.png,233904,fc2b9aaaecab75c254d3370c6481a3dc0f8f8a8a98176f2b2b58450232140e29
aggregate_results/figures/Figure_3_score_transportability.pdf,17954,27cc6e47f7ad2886f9ae6671e0e25d15c2b4bd9535c45039ee64f8f340c59c84
aggregate_results/figures/Figure_3_score_transportability.png,162562,a8bf5b7705dacabb4e7e87afd2eddef9f2cce695b238b90ab48377aa45c22da2
aggregate_results/figures/Figure_4_bootstrap_validation.pdf,15293,598b98092d293263dfe79d3954cbc8399568596736e0d5c8c89b043605fe5122
aggregate_results/figures/Figure_4_bootstrap_validation.png,122365,ed1d897cafc97b45e1507e18d1635067320238a952d1a4e0ec03e95acff3ba07
aggregate_results/tables/Supplementary_Table_MRD_associations.csv,1576,b530e79179ad2757db33949b46f778dd2e27af5ee759ead644e58dd5b44ad263
aggregate_results/tables/Supplementary_Table_sample_size_plan.csv,1345,7ef702d8f5a3be8dfdf83d6f205552b4fae2da0b84d04d975592b68c93cd82c0
aggregate_results/tables/Table_1_locked_scorecard.csv,247,ce759da88c19f82041ee67c926d6eba31cd36820ff3db4b45b9527e7d2d188ca
aggregate_results/tables/Table_2_efs_associations.csv,887,eb08580cd6789c3c89248b8c3088a02968d71c36f666a941568ffe2df0d70dfd
aggregate_results/tables/Table_3_incremental_models.csv,507,85044976461cd5c7e07609b5882f4b697b90aa2b86a58f045c7e92182b99c0c0
aggregate_results/tables/Table_4_bootstrap_validation.csv,862,4e71cbd2bfca9fc4c1ca5266c8ab283d3ae84a2f3d9cd22b45ce4445bbd38421
analysis_code/bootstrap_internal_validation.py,4785,14ab49748cffd37aed89b48827c59477a843eaa322e21e3976e3a7a10ffba68a
analysis_code/build_and_validate_grs.py,16057,e0c66441ed1d877fe5d3d0973c6162cf0288c14575862594062530002ff4305c
CITATION.cff,557,224feef0f1659ac8736260c820129840a1aafe087d9fd24a9a8a37e7da05d35f
DATA_AND_CODE_AVAILABILITY.md,1077,462082725e21d0679a262c5f36a91d91c91b91c44b180d772d0b49a6fd4d0465
docs/BOOTSTRAP_INTERNAL_VALIDATION_REPORT.md,845,217be552a134e89a4bccb83b64eaca0497cebf8eafd3588da46e51c8ae4863ae
docs/DATA_CODE_REPOSITORY_REGISTER.md,1665,d1f063bbee029c15a2c5b28fb287cf1857f0022a20e29892d5a432fac7b9f269
docs/FROZEN_STATISTICAL_ANALYSIS_PLAN.md,2440,ba28981a532ad6e716e58ef11d22c9eaa00ab0198ff59787c92490c7cf5e87e3
docs/MRD_ENDPOINT_HARMONIZATION.md,1272,d46200a928799beb2b2902887d990f7250e11c7ea7a1fec63c6e3b3665a14ef0
docs/REPORTING_CHECKLIST_STROBE_TRIPOD.md,2626,a16aecbf0a4d831a30bee545b182199f15a773e49d0ce913502cc6058caccc44
generate_release_manifest.py,909,871b851c6327ba7d275a0e72ad48e535f68bc97383df1bd584cbedd335571aa1
GITHUB_ZENODO_RELEASE_INSTRUCTIONS.md,1015,126c727f361d92e5d27d569461186bde8cd092a3acac218b6a61c4ead141cba1
LICENSE,1084,e9b7faf1703774b04e7b5effd4cec664e042a5283d4b757116b9feb853f40e8d
PUBLIC_INPUTS_AND_PRIVACY.md,1300,ebdb44cf6925472e46a8d68cc83c382c2913f72cebc47773656fd2aae1f3647f
README.md,1435,86c86960287dbb7209bd064c1c9be040bf0e9b88a58506dde5dd1009714ad842
references/FINAL_REFERENCE_CITATION_RECONCILIATION.md,1379,f6b13d9dce8a0dd986bb42cb741acda65a2b401ac6a6feff632597a9bc33cb30
references/FINAL_VERIFIED_REFERENCES.md,4039,2ec4889da784e4c159cd4c425d1f00a5edcc42d497fc4259874a91be42c47058
references/REFERENCE_CORRECTIONS_REQUIRED.md,1029,73251d185d41b2884c94a2cb973411f04d2dbc7bab01c784ea78f60bb7b32a68
RELEASE_NOTES.md,814,6f7c1a7035ea4280fbedcf92d383b7f240ab02550f6e5532259b9464e86b838b
requirements.txt,98,fc02f685336b66eef1f72dbc4599668e58b0099aff51a27ca96c04f57d2ad798
validate_release_package.py,2283,4309b0678652274d38fe72379c64b12120c96ae64d1b68e51103ecb57ad0dcf3
