relative_path,size_bytes,sha256
.gitignore,230,c69e766cd50e0a906a12b3a505c114497d093afbee687d80d3953cc079fa0244
.zenodo.json,1098,57dfbc7832803f14ee18e43ef2c570f6f3c0f72c1dd5a7aa1a670cee69cc9b5e
aggregate_results/figures/Figure_1_cohort_flow.pdf,18284,138d6a877dbd237e16f918da23bf8ec8f45a7b093224a66de3db5ec3b2afb0f5
aggregate_results/figures/Figure_1_cohort_flow.png,240736,421c0fcc0a47382014539f3701546fa73d000c0ac2d443e1b0884e1823b363fd
aggregate_results/figures/Figure_2_score_applicability.pdf,16253,05f5ad59de6d5c5e3695d28dc3ba57536a756c59208951fe044c35c403b5a615
aggregate_results/figures/Figure_2_score_applicability.png,100497,8a56ce963d8d851a20421f11d9dfdba8d18934ee196b1606a5390eeaa67bcfed
aggregate_results/figures/Figure_3_matched_cindex.pdf,18693,b67632c36689c82325e104c6ef445e44dccae1d0dea531b48211061add7c1808
aggregate_results/figures/Figure_3_matched_cindex.png,160028,33b31b83c82c6c99abe262c01924eabe2ff30bcf0421d1340a3d42c06af3c172
aggregate_results/tables/Supplementary_Table_harmonized_MRD_associations.csv,1770,9338b474f0d230735c1636e29a59c6eba62d5736635bffac514e9fecbb8f033d
aggregate_results/tables/Supplementary_Table_historical_definition_agreement.csv,321,5b4745a48a644e96c5ee0bc4ade5f550545d8d48056e5fec16342841362d00dc
aggregate_results/tables/Supplementary_Table_penalty_sensitivity.csv,2897,d93e73acfac971b40525d02977bd064326cebb00c1e256a75a102ae0a19dfbef
aggregate_results/tables/Supplementary_Table_sample_size_plan.csv,1345,7ef702d8f5a3be8dfdf83d6f205552b4fae2da0b84d04d975592b68c93cd82c0
aggregate_results/tables/Table_1_score_source_disclosure.csv,1838,29590026fec3a8398443dce441425433df99132f1351c055519cb8b4bd38faf2
aggregate_results/tables/Table_2_uniform_variable_definitions.csv,1032,e9d47a675bd789cf62175c02de17b32d72ebddc9ad2df456a76e9c54b7bb75e5
aggregate_results/tables/Table_3_component_prevalence.csv,1413,a29164348f891e00ecd739e86c71a64b21b95020a89ba031f353698bf242aff0
aggregate_results/tables/Table_4_harmonized_efs_associations.csv,662,4d623cd7d7918f9f3869ecb747a4a9f5166faea2f76f9e223c5cb49f7cdc4199
aggregate_results/tables/Table_5_matched_incremental_models.csv,844,87b238aa3aa53872859042fae8f75ea9d3874e1e1594833f3ff901a05c66bf7a
aggregate_results/tables/Table_6_paired_cindex_delta.csv,525,cc33b1bb734531617d8bd5d4894da50790c37c307c0991d35bb36717f0ad2d0a
analysis_code/harmonized_score_reanalysis.py,30951,178309a78ddff58e6d691f5148d06fab057cc051c21039fd2fef557081663caa
CITATION.cff,557,d681148a3910c186050cb77694794389e6c6e6d0121499b1a4aca55b1c619f95
DATA_AND_CODE_AVAILABILITY.md,1223,27f64f87e4aa22f5a86d0a5db3bf678e3b5cecef34ce385157abd68c162be18b
docs/DATA_CODE_REPOSITORY_REGISTER.md,1781,636ec6760a839ea6759ef6864a762a66eec43291e21d3f9d5792b3d6f170c8b9
docs/FROZEN_STATISTICAL_ANALYSIS_PLAN.md,3233,cf753f0073acd2b73d814a5f8b1484da2668bc3eb97e13f8294ca3d207f50b50
docs/HARMONIZED_REANALYSIS_AUDIT.md,951,8b39c2d5f69bf47e393212014c7d1a92d14ba15ffdd2897ea0243b5134d48132
docs/MRD_ENDPOINT_HARMONIZATION.md,1272,d46200a928799beb2b2902887d990f7250e11c7ea7a1fec63c6e3b3665a14ef0
docs/REPORTING_CHECKLIST_STROBE_TRIPOD.md,2808,2265a1d5b5d52931989a76fe74c8dac61bc3658d5b5ce80b6105874764ae98f2
generate_release_manifest.py,909,871b851c6327ba7d275a0e72ad48e535f68bc97383df1bd584cbedd335571aa1
GITHUB_ZENODO_RELEASE_INSTRUCTIONS.md,1015,126c727f361d92e5d27d569461186bde8cd092a3acac218b6a61c4ead141cba1
LICENSE,1084,e9b7faf1703774b04e7b5effd4cec664e042a5283d4b757116b9feb853f40e8d
PUBLIC_INPUTS_AND_PRIVACY.md,1872,00a5b86e33eb51dfdc98b290dc0584465d7db700edd89430446c390d31796b4b
README.md,1594,b9b14f0857099e805f5a9efa9436a7952e2e97220afd94ec58590b145699d059
references/FINAL_REFERENCE_CITATION_RECONCILIATION.md,1379,f6b13d9dce8a0dd986bb42cb741acda65a2b401ac6a6feff632597a9bc33cb30
references/FINAL_VERIFIED_REFERENCES.md,4039,2ec4889da784e4c159cd4c425d1f00a5edcc42d497fc4259874a91be42c47058
references/REFERENCE_CORRECTIONS_REQUIRED.md,1029,73251d185d41b2884c94a2cb973411f04d2dbc7bab01c784ea78f60bb7b32a68
RELEASE_NOTES.md,1080,2b491bfdab3fe923ca176cddde953d562bd358407103545ea4e75a982fef3da3
requirements.txt,98,fc02f685336b66eef1f72dbc4599668e58b0099aff51a27ca96c04f57d2ad798
validate_release_package.py,2283,4309b0678652274d38fe72379c64b12120c96ae64d1b68e51103ecb57ad0dcf3
